,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,,24,,,,,,,,,,,46,,,,Matches,5f09991f
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,,28,,,,,,,,,,,35,,,,Matches,774cf58b
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,,4,,,,,,,,,,,5,,,,Matches,f586779e
4,Ché Adams,sct SCO,FW,Southampton,23,1996,12.3,,5,,,,,,,,,,,2,,,,Matches,f2bf1b0f
5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,,1,,,,,,,,,,,0,,,,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,,5,,,,,,,,,,,3,,,,Matches,4d034881
7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,,0,,,,,,,,,,,1,,,,Matches,2b1c4abd
8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,,23,,,,,,,,,,,33,,,,Matches,eaeca114
9,Marc Albrighton,eng ENG,MF,Leicester City,29,1989,9.6,,16,,,,,,,,,,,8,,,,Matches,b827d5b3
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,,29,,,,,,,,,,,26,,,,Matches,f7d50789
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,,33,,,,,,,,,,,46,,,,Matches,cd1acf9d
12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,,0,,,,,,,,,,,1,,,,Matches,7a2e46a8
13,Dele Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,,14,,,,,,,,,,,14,,,,Matches,cea4ee8f
14,Miguel Almirón,py PAR,MFFW,Newcastle,25,1994,33.6,,41,,,,,,,,,,,30,,,,Matches,862a1c15
15,Marcos Alonso,es ESP,DFMF,Chelsea,28,1990,15.9,,15,,,,,,,,,,,20,,,,Matches,f4290206
16,Steven Alzate,co COL,MFDF,Brighton,20,1998,13.2,,19,,,,,,,,,,,13,,,,Matches,ad1f61f3
17,Ibrahim Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,,11,,,,,,,,,,,17,,,,Matches,9260926b
18,Felipe Anderson,br BRA,MF,West Ham,26,1993,16.6,,28,,,,,,,,,,,21,,,,Matches,9f1893b9
19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,,1,,,,,,,,,,,0,,,,Matches,dc008610
20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,,2,,,,,,,,,,,9,,,,Matches,30941e96
21,Faustino Anjorin,eng ENG,MF,Chelsea,17,2001,0.2,,0,,,,,,,,,,,0,,,,Matches,b105919e
22,Michail Antonio,jm JAM,FWMF,West Ham,29,1990,19.6,,7,,,,,,,,,,,9,,,,Matches,ac05f970
23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,,20,,,,,,,,,,,10,,,,Matches,97333cf5
24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,,1,,,,,,,,,,,1,,,,Matches,28d596a0
25,Christian Atsu,gh GHA,MF,Newcastle,27,1992,8.3,,8,,,,,,,,,,,2,,,,Matches,8816329f
26,Pierre-Emerick Aubameyang,ga GAB,FWMF,Arsenal,30,1989,34.8,,21,,,,,,,,,,,11,,,,Matches,d5dd5f1f
27,Serge Aurier,ci CIV,DFMF,Tottenham,26,1992,30.0,,71,,,,,,,,,,,43,,,,Matches,5c2b4f07
28,Jordan Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,,29,,,,,,,,,,,13,,,,Matches,da052c14
29,César Azpilicueta,es ESP,DFMF,Chelsea,29,1989,35.9,,54,,,,,,,,,,,66,,,,Matches,53cad200
30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,,0,,,,,,,,,,,3,,,,Matches,a1232f4e
31,Leighton Baines,eng ENG,DFMF,Everton,34,1984,4.5,,7,,,,,,,,,,,5,,,,Matches,b18095b6
32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,13.1,,12,,,,,,,,,,,26,,,,Matches,3626f7d9
33,George Baldock,gr GRE,MF,Sheffield United,26,1993,38.0,,43,,,,,,,,,,,37,,,,Matches,394854c4
34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21.0,,37,,,,,,,,,,,29,,,,Matches,1ae30132
35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,,9,,,,,,,,,,,8,,,,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,15.0,,4,,,,,,,,,,,6,,,,Matches,2691c772
37,Harvey Barnes,eng ENG,MF,Leicester City,21,1997,23.1,,10,,,,,,,,,,,5,,,,Matches,3ea50f67
38,Chris Basham,eng ENG,DF,Sheffield United,31,1988,36.0,,49,,,,,,,,,,,73,,,,Matches,1aa84968
39,Borja Bastón,es ESP,FW,Aston Villa,26,1992,0.2,,0,,,,,,,,,,,0,,,,Matches,8c44e37b
40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,,0,,,,,,,,,,,0,,,,Matches,2973d8ff
41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34.0,,39,,,,,,,,,,,74,,,,Matches,4115ce4e
42,Héctor Bellerín,es ESP,DFMF,Arsenal,24,1995,12.9,,12,,,,,,,,,,,18,,,,Matches,f874dd44
43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,,2,,,,,,,,,,,9,,,,Matches,0bad4516
44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,3.7,,4,,,,,,,,,,,7,,,,Matches,0bad4516
45,Nabil Bentaleb,dz ALG,MF,Newcastle,24,1994,8.3,,12,,,,,,,,,,,19,,,,Matches,3189f61a
46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,,5,,,,,,,,,,,4,,,,Matches,ab070c55
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,,2,,,,,,,,,,,7,,,,Matches,f72293fc
48,Sander Berge,no NOR,MF,Sheffield United,21,1998,10.5,,16,,,,,,,,,,,10,,,,Matches,d0b6129f
49,Steven Bergwijn,nl NED,MFFW,Tottenham,21,1997,7.8,,5,,,,,,,,,,,3,,,,Matches,a29b1131
50,Bernard,br BRA,MF,Everton,26,1992,14.2,,19,,,,,,,,,,,16,,,,Matches,ab4b3e35
51,Bernardo,br BRA,DFMF,Brighton,24,1995,7.5,,17,,,,,,,,,,,7,,,,Matches,17370b95
52,Ryan Bertrand,eng ENG,DFMF,Southampton,29,1989,30.5,,30,,,,,,,,,,,31,,,,Matches,01226327
53,Muhamed Bešić,ba BIH,MF,Sheffield United,26,1992,2.8,,6,,,,,,,,,,,2,,,,Matches,7ca9f0f0
54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,,47,,,,,,,,,,,71,,,,Matches,d328a254
55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,14.0,,37,,,,,,,,,,,22,,,,Matches,6c203af0
56,Willy Boly,ci CIV,DF,Wolves,28,1991,22.0,,36,,,,,,,,,,,39,,,,Matches,a4ac4b8f
57,Gaëtan Bong,cm CMR,DF,Brighton,31,1988,0.7,,0,,,,,,,,,,,0,,,,Matches,cfd5e123
58,Sofiane Boufal,ma MAR,MF,Southampton,25,1993,8.5,,7,,,,,,,,,,,3,,,,Matches,b0c71810
59,Jarrod Bowen,eng ENG,MF,West Ham,22,1996,10.2,,16,,,,,,,,,,,13,,,,Matches,79c84d1c
60,Robbie Brady,ie IRL,MF,Burnley,27,1992,5.0,,8,,,,,,,,,,,5,,,,Matches,96bb8cc2
61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,,8,,,,,,,,,,,1,,,,Matches,c1949191
62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,,0,,,,,,,,,,,0,,,,Matches,10072610
63,Armando Broja,al ALB,FW,Chelsea,17,2001,0.1,,0,,,,,,,,,,,0,,,,Matches,97220da2
64,David Brooks,wls WAL,MF,Bournemouth,22,1997,5.6,,4,,,,,,,,,,,3,,,,Matches,dc4cae05
65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,,10,,,,,,,,,,,13,,,,Matches,47369df8
66,Emi Buendía,ar ARG,MF,Norwich City,22,1996,27.4,,36,,,,,,,,,,,22,,,,Matches,66b76d44
67,Dan Burn,eng ENG,DF,Brighton,27,1992,32.0,,44,,,,,,,,,,,37,,,,Matches,b2d31e83
68,Sam Byram,eng ENG,DF,Norwich City,25,1993,14.4,,21,,,,,,,,,,,24,,,,Matches,1bf811d4
