id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
3,u,0.0,0.0,Has joined Werder Bremen on loan for the rest of the season.,
703,a,,,,
4,a,,,,
5,a,100.0,100.0,,
6,a,100.0,100.0,,
89,u,0.0,0.0,Has joined Midtjylland permanently.,
185,a,,,,
186,i,0.0,0.0,Achilles injury - Unknown return date,
108,a,100.0,100.0,,
130,a,,,,
254,a,100.0,100.0,,
255,a,,,,
297,a,,,,
341,a,,,,
707,a,,,,
360,u,0.0,0.0,Has joined Hull City on loan for the rest of the season.,
361,u,0.0,0.0,has joined Hull City permanently.,
760,a,,,,
434,a,,,,
740,a,,,,
742,a,,,,
763,a,,,,
764,a,,,,
119,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
422,i,0.0,0.0,Ankle injury - Unknown return date,
513,a,,,,
565,a,,,,
520,u,0.0,0.0,Has joined Wrexham permanently.,
569,a,100.0,100.0,,
571,a,100.0,100.0,,
267,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
562,a,,,,
604,u,0.0,0.0,has joined Marseille permanently.,
605,a,,,,
606,a,100.0,100.0,,
268,i,0.0,0.0,Knee injury - Unknown return date,
269,a,,,,
720,a,,,,
749,a,,,,
766,a,,,,
15,a,,,,
746,a,,,,
75,d,25.0,25.0,Muscle injury - 25% chance of playing,
114,a,100.0,100.0,,
744,a,,,,
240,u,0.0,0.0,has joined AC Milan permanently.,
300,a,,,,
630,a,,,,
336,a,,,,
378,a,100.0,100.0,,
346,a,,,,
406,a,100.0,100.0,,
539,a,100.0,100.0,,
478,a,100.0,50.0,,
367,a,,,,
368,a,,,,
369,a,,,,
370,a,100.0,100.0,,
371,a,,,,
278,u,0.0,0.0,has joined Caykur Rizespor on loan for the rest of the season.,
279,u,0.0,0.0,Has joined CR Vasco da Gama on loan for the rest of the season.,
729,u,0.0,0.0,has joined Botafogo on loan for the rest of the season.,
734,a,100.0,100.0,,
557,a,,,,
615,a,100.0,100.0,,
635,i,0.0,0.0,Groin Injury - Expected back 18 Jan,
636,a,100.0,75.0,,
637,i,0.0,0.0,Hamstring injury - Unknown return date,
638,a,100.0,100.0,,
639,u,0.0,0.0,On loan to FC Alverca,
640,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
641,a,,,,
7,i,0.0,0.0,Muscle injury - Unknown return date,
8,a,100.0,100.0,,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
10,a,,,,
11,a,100.0,100.0,,
13,a,,,,
14,u,0.0,0.0,has joined Morecambe on loan for the rest of the season.,
16,a,100.0,100.0,,
17,a,100.0,100.0,,
18,a,100.0,100.0,,
19,a,100.0,100.0,,
