season,gw,fpl_id,name,pos,team,price,proj_pts
2022-23,1,281,Alisson,GK,LIV,5.5,4.170292202
2022-23,1,307,Ederson,GK,MCI,5.5,3.841130765
2022-23,1,15,Ramsdale,GK,ARS,5.0,4.10332954
2022-23,1,31,E Martinez,GK,AVL,5.0,4.333821157
2022-23,1,147,E Mendy,GK,CHE,5.0,4.116576828
2022-23,1,425,Lloris,GK,TOT,5.5,4.365447465
2022-23,1,113,R Sanchez,GK,BHA,4.5,3.101979436
2022-23,1,238,Meslier,GK,LEE,4.5,4.13642467
2022-23,1,81,Raya,GK,BRE,4.5,3.353209003
2022-23,1,376,Pope,GK,NEW,5.0,4.115096931
2022-23,1,327,de Gea,GK,MUN,5.0,3.956990136
2022-23,1,182,Pickford,GK,EVE,4.5,3.192747891
2022-23,1,478,Sa,GK,WOL,5.0,2.87418497
2022-23,1,398,D Henderson,GK,NFO,4.5,3.123521509
2022-23,1,2,Leno,GK,FUL,4.5,1.413633338
2022-23,1,152,Guaita,GK,CRY,4.5,2.801984828
2022-23,1,455,Fabianski,GK,WHU,5.0,1.678341853
2022-23,1,401,McCarthy,GK,SOU,4.5,1.805023673
2022-23,1,254,D Ward,GK,LEI,4.0,2.226588593
2022-23,1,473,Areola,GK,WHU,4.5,0.680432557
2022-23,1,548,Iversen,GK,LEI,4.0,1.28682469
2022-23,1,175,Johnstone,GK,CRY,4.5,0.78694625
2022-23,1,72,Travers,GK,BOU,4.5,3.170157243
2022-23,1,355,Dubravka,GK,NEW,4.5,0.658754392
2022-23,1,422,Bazunu,GK,SOU,4.5,0.344059482
2022-23,1,492,Sarkic,GK,WOL,4.0,0.889784797
2022-23,1,324,Ortega,GK,MCI,4.0,0.126580621
2022-23,1,133,Kepa,GK,CHE,4.5,0.139244894
2022-23,1,24,Turner,GK,ARS,4.0,0.129375166
2022-23,1,497,Adrian,GK,LIV,4.0,0.368224689
2022-23,1,289,Kelleher,GK,LIV,4.0,0.0
2022-23,1,517,Strakosha,GK,BRE,4.5,0.098308252
2022-23,1,213,Rodak,GK,FUL,4.5,0.76721112
2022-23,1,426,Forster,GK,TOT,4.0,0.086284261
2022-23,1,35,Olsen,GK,AVL,4.0,0.078151299
2022-23,1,176,Begovic,GK,EVE,4.0,0.076611921
2022-23,1,348,Heaton,GK,MUN,4.0,0.077425746
2022-23,1,236,Klaesson,GK,LEE,4.0,0.075129661
2022-23,1,518,Hennessey,GK,NFO,4.0,0.062030959
2022-23,1,542,Scherpen,GK,BHA,4.0,0.029902805
